video,trait,selectedCnt,totalCnt
2630e932f0_37.mp4,o,6,16
dfbe16e76b_25.mp4,o,2,4
b455f02826_2.mp4,c,0,4
4fdf48c5b7_2.mp4,c,7,8
63d4150e21_8.mp4,e,6,9
4b8d550db2_7.mp4,e,3,4
40bb63a7fd_7.mp4,a,2,4
c651eb1676_138.mp4,a,2,4
5990ff1239_8.mp4,n,3,4
c33dad9f29_16.mp4,n,1,4
049dbc8289_76.mp4,o,3,5
e3a65645cf_13.mp4,o,2,5
9928319982_18.mp4,c,1,5
dad8f52d67_21.mp4,c,4,5
8672769492_58.mp4,e,4,9
1a0f97af1e_3.mp4,e,2,5
61476146da_1.mp4,a,2,5
b056ba1559_3.mp4,a,3,5
f7c3f8989b_22.mp4,n,3,5
ca8d046ddd_1.mp4,n,3,10
b060020015_4.mp4,o,5,8
25544b57d1_2.mp4,o,2,5
9928319982_3.mp4,c,3,5
7770f52caa_1.mp4,c,2,5
c33dad9f29_21.mp4,e,3,5
446caa6f5f_77.mp4,e,2,5
0014697d89_16.mp4,a,2,5
0e90f800ce_22.mp4,a,8,14
0e90f800ce_9.mp4,n,4,5
6a10f8759a_36.mp4,n,1,5
0a6455dbb0_9.mp4,o,7,9
837d3a2ed9_14.mp4,o,2,5
50f1e03687_6.mp4,c,2,8
7bd0303cc6_42.mp4,c,8,10
068371806d_35.mp4,e,2,5
97ab48dd55_12.mp4,e,3,5
d858a95536_9.mp4,a,3,5
0e90f800ce_51.mp4,a,2,5
1d9e03f6e0_8.mp4,n,1,5
0601b6267e_8.mp4,n,4,5
f5853adc98_23.mp4,o,15,24
2630e932f0_52.mp4,o,1,4
2598d31ae3_1.mp4,c,2,4
eb87c332e2_28.mp4,c,2,4
c651eb1676_12.mp4,e,2,4
154ece9b23_2.mp4,e,2,4
b15da5f794_4.mp4,a,0,4
61476146da_7.mp4,a,4,4
d36034bdbf_6.mp4,n,2,4
0a6455dbb0_1.mp4,n,2,4
4fdf48c5b7_65.mp4,o,1,4
d858a95536_79.mp4,o,6,14
c33dad9f29_2.mp4,c,2,4
c651eb1676_13.mp4,c,2,4
4c08eeaf99_97.mp4,e,1,4
25544b57d1_7.mp4,e,3,4
c651eb1676_49.mp4,a,0,4
8d0ee9e27f_8.mp4,a,4,4
5990ff1239_13.mp4,n,3,8
61476146da_23.mp4,n,4,4
f30a397b0c_27.mp4,o,2,4
0e90f800ce_50.mp4,o,2,4
0a368dff45_26.mp4,c,2,4
9948bda475_7.mp4,c,2,4
2598d31ae3_7.mp4,e,0,4
f1f80e5aa0_12.mp4,e,4,4
4c08eeaf99_72.mp4,a,1,4
5990ff1239_13.mp4,a,3,4
e8477b04ec_61.mp4,n,3,4
e360674f8b_38.mp4,n,1,4
4274b5c7b4_23.mp4,o,2,4
c651eb1676_25.mp4,o,2,4
db8c3db135_11.mp4,c,1,4
392b9627d1_7.mp4,c,3,4
d858a95536_78.mp4,e,2,4
b8a4c17fbe_6.mp4,e,2,4
720fccf6b1_50.mp4,a,0,4
0e90f800ce_7.mp4,a,4,4
720fccf6b1_85.mp4,n,2,4
2630e932f0_47.mp4,n,2,4
5dbe49fbc2_37.mp4,o,1,5
ddae83d7b2_6.mp4,o,4,5
f2d95ed15e_63.mp4,c,1,5
4274b5c7b4_73.mp4,c,4,5
252dd328ef_7.mp4,e,2,5
6a223d2f44_15.mp4,e,3,5
2630e932f0_44.mp4,a,3,5
15b660a496_13.mp4,a,2,5
4c08eeaf99_17.mp4,n,1,5
c651eb1676_137.mp4,n,4,5
4fdabf2807_8.mp4,o,2,4
1a0f97af1e_61.mp4,o,4,8
c77d5af3d1_1.mp4,c,0,4
2457d01ae7_16.mp4,c,4,9
84125c414e_7.mp4,e,9,14
720fccf6b1_81.mp4,e,1,4
d858a95536_49.mp4,a,1,4
2cb5b3df8d_85.mp4,a,3,4
81ef830580_31.mp4,n,2,4
2630e932f0_18.mp4,n,2,4
17becab0e7_5.mp4,o,0,4
7bd0303cc6_28.mp4,c,3,4
e8477b04ec_36.mp4,c,1,4
0a368dff45_2.mp4,e,1,9
446caa6f5f_80.mp4,e,13,18
e8de8bb4d0_9.mp4,a,2,4
ca6f968de3_2.mp4,a,2,4
1b3d1fb598_2.mp4,n,2,4
c651eb1676_88.mp4,n,2,4
0a6455dbb0_111.mp4,o,3,5
9369d89203_16.mp4,o,4,9
abbac10d03_5.mp4,c,1,5
f30a397b0c_41.mp4,c,4,5
0c5b027fa3_1.mp4,e,4,5
4fdf48c5b7_32.mp4,e,1,5
222c522dd4_17.mp4,a,2,5
446caa6f5f_58.mp4,a,3,5
4fdf48c5b7_61.mp4,n,2,5
90fa235810_1.mp4,n,6,10
4c08eeaf99_55.mp4,o,2,5
dad8f52d67_13.mp4,c,10,15
0014697d89_13.mp4,c,2,5
21ad80e26e_7.mp4,e,2,5
4fdf48c5b7_68.mp4,e,3,5
c651eb1676_123.mp4,a,2,5
049dbc8289_2.mp4,a,3,5
ef2f7d7dbf_93.mp4,n,2,5
d88213a113_9.mp4,n,3,5
3aabfe0590_15.mp4,o,2,5
f5853adc98_36.mp4,o,8,13
b060020015_13.mp4,c,2,5
8672769492_60.mp4,c,5,10
d858a95536_128.mp4,e,1,5
8d0ee9e27f_12.mp4,a,4,5
8672769492_7.mp4,a,1,5
faf57b8b8a_5.mp4,n,3,5
2cb5b3df8d_48.mp4,n,2,5
068371806d_35.mp4,o,3,5
c8c00639ec_7.mp4,o,2,5
7f0ab09185_7.mp4,c,5,5
154ece9b23_12.mp4,c,2,8
3f81e67c9b_11.mp4,e,0,5
5b826163ee_5.mp4,e,5,5
0a6455dbb0_115.mp4,a,1,5
7bd0303cc6_35.mp4,a,5,9
2cb5b3df8d_82.mp4,n,1,5
5990ff1239_18.mp4,n,9,11
a6a618dc02_5.mp4,o,4,5
71da375aff_5.mp4,o,1,5
d471c3cc18_12.mp4,c,1,5
400f09a2d4_33.mp4,c,4,5
1ffcdc3b90_10.mp4,e,4,5
d858a95536_100.mp4,e,1,5
f760d38652_8.mp4,a,2,5
6e8b99814c_10.mp4,a,3,5
c33dad9f29_6.mp4,n,1,5
d858a95536_64.mp4,n,4,5
4b8d550db2_15.mp4,o,4,5
4fdf48c5b7_52.mp4,c,3,5
f30a397b0c_39.mp4,c,2,5
0a6455dbb0_85.mp4,e,3,5
540c0cba0a_203.mp4,e,2,5
effd43f74d_1.mp4,a,2,5
0c5b027fa3_13.mp4,a,3,5
cbb1666eaf_6.mp4,n,1,5
d858a95536_70.mp4,n,4,5
0a6455dbb0_39.mp4,o,2,4
dad8f52d67_6.mp4,o,2,4
3aabfe0590_18.mp4,c,3,4
4274b5c7b4_97.mp4,c,1,4
2065891685_5.mp4,e,0,4
e2298a78bc_11.mp4,e,4,4
1a0f97af1e_2.mp4,a,2,4
40bb63a7fd_56.mp4,a,2,4
8c8de3ceb3_22.mp4,n,4,4
0b1b1a67eb_13.mp4,n,4,9
df2b112a9a_6.mp4,o,6,9
c8c00639ec_105.mp4,o,2,4
4fdf48c5b7_44.mp4,c,2,4
954d841dcb_5.mp4,c,2,4
9928319982_9.mp4,e,0,4
d101e676ba_13.mp4,e,4,4
161a5444ff_2.mp4,a,3,4
c651eb1676_4.mp4,n,0,4
e8477b04ec_60.mp4,n,4,4
161a5444ff_3.mp4,o,2,4
b0390cf0b5_4.mp4,o,2,4
f1d34d8f6a_1.mp4,c,2,4
dad8f52d67_19.mp4,c,2,4
d858a95536_20.mp4,e,1,4
b2f72bb343_15.mp4,e,7,9
1a0f97af1e_12.mp4,a,2,4
f2d95ed15e_38.mp4,a,2,4
f410feada7_7.mp4,n,3,4
049dbc8289_73.mp4,n,1,4
f2d95ed15e_67.mp4,o,2,5
f5853adc98_4.mp4,o,12,19
d858a95536_11.mp4,c,7,14
97ab48dd55_4.mp4,c,3,5
2d3a17b517_1.mp4,e,4,5
d858a95536_47.mp4,e,1,5
6e8b99814c_23.mp4,a,3,5
40bb63a7fd_66.mp4,a,2,5
d858a95536_63.mp4,n,4,5
fd4c232a11_3.mp4,n,1,5
2cb5b3df8d_79.mp4,o,3,5
3fb0a97a52_4.mp4,c,3,5
3a1838f3bb_8.mp4,c,6,14
4fdf48c5b7_5.mp4,e,1,5
540c0cba0a_48.mp4,e,4,5
720fccf6b1_77.mp4,a,2,5
e3a40d1a75_48.mp4,n,4,5
0e90f800ce_9.mp4,o,6,9
5d4347c609_5.mp4,o,1,4
dad8f52d67_17.mp4,c,2,4
7bd0303cc6_63.mp4,c,2,4
54e727b94e_20.mp4,e,2,4
99a718fbeb_15.mp4,e,2,4
4b8d550db2_11.mp4,a,3,4
c651eb1676_161.mp4,a,1,4
